Pays,Année,Valeur,Population
Bénin,1990,4835,4978496
Bénin,2000,4135,6865951
Bénin,2010,3635,9199259
Bénin,2020,3135,12122985
Burkina Faso,1990,7717,8811034
Burkina Faso,2000,7217,11607942
Burkina Faso,2010,6717,15605217
Burkina Faso,2020,6216,20903345
Cap-Vert,1990,15,341883
Cap-Vert,2000,40,435079
Cap-Vert,2010,43,502384
Cap-Vert,2020,46,567348
Côte d'Ivoire,1990,7851,12267754
Côte d'Ivoire,2000,5094,16686561
Côte d'Ivoire,2010,3966,20401331
Côte d'Ivoire,2020,2837,26171750
Gambie,1990,415,916806
Gambie,2000,357,1231844
Gambie,2010,300,1692149
Gambie,2020,243,2293493
Ghana,1990,9924,14628260
Ghana,2000,8849,18932762
Ghana,2010,7943,24512104
Ghana,2020,7986,30733755
Guinée,1990,7276,6041094
Guinée,2000,6929,8808546
Guinée,2010,6569,10794170
Guinée,2020,6189,13750826
Guinée-Bissau,1990,2233,1012280
Guinée-Bissau,2000,2149,1243229
Guinée-Bissau,2010,2064,1555880
Guinée-Bissau,2020,1980,2000694
Libéria,1990,8525,2097232
Libéria,2000,8223,2884522
Libéria,2010,7920,3948125
Libéria,2020,7617,5103853
Mali,1990,13296,8465188
Mali,2000,13296,10967690
Mali,2010,13296,15075085
Mali,2020,13296,20284180
Niger,1990,1945,8012861
Niger,2000,1328,11352973
Niger,2010,1204,16425578
Niger,2020,1080,24074693
Nigeria,1990,26526,95269988
Nigeria,2000,24893,122352009
Nigeria,2010,23260,158578261
Nigeria,2020,21627,206152701
Sénégal,1990,9303,7555617
Sénégal,2000,8853,9884052
Sénégal,2010,8468,12916229
Sénégal,2020,8068,17200154
Sierra Leone,1990,3127,4312246
Sierra Leone,2000,2929,4564297
Sierra Leone,2010,2732,6458720
Sierra Leone,2020,2535,8046931
Togo,1990,1362,3786940
Togo,2000,1268,4970367
Togo,2010,1239,6502952
Togo,2020,1209,8384291
